                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9061,                  4.529,                 1.8348,                0.00643,                0.43056,                0.12945,                0.11476,                 1.5106,                 4.6959,                  1.525,               7.14e-05,               7.14e-05,               7.14e-05
                      0,                 2.1361,                 5.0103,                 2.0331,                0.00918,                0.44444,                0.04307,                0.03237,                 1.5014,                 4.0799,                 1.4768,              0.0001428,              0.0001428,              0.0001428
                      1,                 1.9461,                 4.5886,                 1.8155,                0.01182,                0.66667,                0.13545,                0.08956,                 1.6503,                 3.8728,                 1.5156,             0.00029195,             0.00029195,             0.00029195
                      2,                 1.8477,                 4.0861,                 1.6925,                0.68061,                0.11111,                0.22054,                0.12806,                 1.7792,                 3.5527,                 1.5478,             0.00043789,             0.00043789,             0.00043789
                      3,                 1.8228,                 3.8001,                 1.7267,                0.37146,                 0.1495,                 0.1905,                0.09974,                 1.8384,                 2.9208,                 1.5804,             0.00057826,             0.00057826,             0.00057826
                      4,                 1.7243,                 3.4748,                 1.6248,                0.26116,                0.33432,                0.25316,                0.14414,                 1.8048,                 2.6451,                 1.5601,             0.00068344,             0.00068344,             0.00068344
                      5,                 1.6921,                 3.3591,                 1.5967,                0.51309,                0.29167,                0.28078,                0.14279,                 1.9434,                   2.63,                 1.5833,             0.00068344,             0.00068344,             0.00068344
                      6,                 1.6627,                 3.1695,                 1.5652,                0.27312,                0.29948,                0.26221,                0.14346,                 1.8934,                  2.721,                 1.5346,             0.00066665,             0.00066665,             0.00066665
                      7,                 1.6242,                 3.0507,                 1.5328,                0.53876,                0.33333,                0.29645,                0.14264,                 1.9608,                 2.8005,                 1.6378,              0.0006465,              0.0006465,              0.0006465
                      8,                 1.5575,                 2.8771,                  1.522,                0.72728,                0.51389,                0.41728,                0.28521,                 1.7289,                 2.5078,                 1.5497,             0.00062322,             0.00062322,             0.00062322
                      9,                 1.5419,                 2.8196,                 1.5381,                0.56873,                0.55556,                 0.5456,                0.34779,                 1.7606,                  2.409,                 1.5702,             0.00059706,             0.00059706,             0.00059706
                     10,                 1.5057,                 2.7404,                 1.4918,                 0.8155,                0.33103,                0.44499,                0.23951,                 1.8482,                 2.5519,                  1.606,             0.00056831,             0.00056831,             0.00056831
                     11,                 1.4291,                 2.6204,                  1.432,                0.31659,                0.32465,                0.36342,                0.20155,                 1.8962,                 2.6948,                 1.5463,             0.00053729,             0.00053729,             0.00053729
                     12,                 1.4382,                 2.4865,                  1.409,                0.38635,                0.32993,                0.33339,                0.22065,                 1.9217,                 2.5096,                 1.5531,             0.00050432,             0.00050432,             0.00050432
                     13,                 1.3945,                 2.4375,                  1.387,                0.22802,                 0.2893,                 0.3222,                0.19166,                 1.7834,                 2.4981,                 1.5531,             0.00046979,             0.00046979,             0.00046979
                     14,                 1.3513,                 2.2783,                 1.3366,                0.23818,                0.36989,                0.32873,                0.20297,                 1.7693,                 2.4919,                 1.5794,             0.00043405,             0.00043405,             0.00043405
                     15,                 1.3397,                 2.2071,                 1.3594,                0.16676,                0.33333,                0.31335,                0.18747,                 1.8201,                 2.4584,                 1.5591,             0.00039751,             0.00039751,             0.00039751
                     16,                 1.2726,                 2.0437,                 1.3169,                0.19055,                0.29782,                0.28949,                  0.174,                 1.7958,                 2.5357,                 1.5737,             0.00036057,             0.00036057,             0.00036057
                     17,                 1.2463,                 1.9611,                 1.2891,                0.58219,                0.29167,                0.33558,                0.20386,                 1.8382,                 2.5877,                 1.5815,             0.00032363,             0.00032363,             0.00032363
                     18,                 1.2403,                 1.9598,                 1.2615,                0.61562,                0.29167,                0.34688,                0.22503,                 1.8035,                 2.6521,                 1.5748,             0.00028709,             0.00028709,             0.00028709
                     19,                 1.1891,                 1.8818,                 1.2645,                0.26693,                0.39578,                0.40215,                0.23227,                 1.7883,                 2.5624,                 1.6025,             0.00025135,             0.00025135,             0.00025135
                     20,                 1.1527,                 1.8227,                 1.2548,                0.22722,                0.35677,                 0.3781,                0.22609,                 1.8167,                 2.5611,                 1.5954,             0.00021682,             0.00021682,             0.00021682
                     21,                 1.1585,                 1.7965,                  1.213,                0.32941,                  0.551,                0.40192,                0.23008,                 1.8402,                 2.5871,                 1.6003,             0.00018386,             0.00018386,             0.00018386
                     22,                 1.1397,                 1.7292,                 1.2306,                0.74271,                0.29948,                0.38158,                0.23188,                 1.8442,                 2.5753,                 1.6267,             0.00015283,             0.00015283,             0.00015283
                     23,                 1.1313,                 1.6653,                 1.2096,                0.69356,                0.29948,                0.36996,                0.22237,                  1.828,                  2.533,                 1.6335,             0.00012408,             0.00012408,             0.00012408
                     24,                 1.1363,                 1.7059,                 1.2426,                0.67514,                0.29948,                0.33989,                0.21574,                 1.8219,                 2.5594,                  1.631,              9.792e-05,              9.792e-05,              9.792e-05
                     25,                 1.1005,                 1.6616,                 1.2136,                0.68984,                0.29948,                0.36648,                0.23694,                 1.7875,                 2.5043,                 1.6046,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     26,                 1.1004,                  1.648,                 1.1892,                0.69341,                0.29948,                0.34949,                0.21911,                 1.7974,                 2.5222,                 1.5998,             5.4491e-05,             5.4491e-05,             5.4491e-05
                     27,                 1.0653,                 1.5977,                 1.1924,                0.89514,                0.28345,                0.36691,                0.23286,                 1.8128,                 2.4811,                 1.6098,             3.7696e-05,             3.7696e-05,             3.7696e-05
                     28,                 1.0368,                 1.6173,                 1.1785,                0.85527,                0.29948,                  0.358,                0.22324,                 1.8026,                 2.4459,                 1.6162,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     29,                 1.0699,                 1.5818,                  1.173,                0.59636,                0.29808,                0.36237,                0.22335,                 1.8104,                 2.4608,                 1.6269,             1.4863e-05,             1.4863e-05,             1.4863e-05
                      0,                 2.1361,                 5.0103,                 2.0331,                0.00918,                0.44444,                0.04307,                0.03237,                 1.5014,                 4.0799,                 1.4768,              0.0001428,              0.0001428,              0.0001428
                      1,                 1.9511,                 4.5917,                  1.817,                0.01142,                  0.625,                0.12895,                0.08827,                 1.6117,                 3.8913,                 1.4954,             0.00029267,             0.00029267,             0.00029267
                      2,                 1.8812,                 4.2011,                  1.694,                      1,                0.08471,                0.22476,                0.12269,                 1.6538,                  3.529,                 1.4915,             0.00044225,             0.00044225,             0.00044225
                      3,                 1.8209,                 3.7729,                 1.7087,                0.56692,                0.02778,                0.17304,                0.11015,                 1.7139,                 2.9444,                 1.5785,             0.00059132,             0.00059132,             0.00059132
                      4,                 1.7272,                 3.4822,                 1.6504,                0.49958,                0.28133,                0.26564,                0.16799,                  1.876,                 2.7213,                 1.6306,             0.00071121,             0.00071121,             0.00071121
                      5,                 1.6695,                 3.3511,                 1.6072,                0.35387,                0.18166,                0.27922,                0.16215,                 2.0089,                  3.006,                 1.6761,             0.00071121,             0.00071121,             0.00071121
                      6,                 1.7078,                 3.1971,                 1.5688,                0.30682,                0.44005,                0.28048,                0.14051,                 1.8357,                 2.6268,                 1.5788,             0.00070965,             0.00070965,             0.00070965
                      7,                 1.6347,                 3.1247,                 1.5391,                 0.3081,                0.38281,                 0.3205,                0.16151,                 1.7801,                 2.5683,                 1.5174,             0.00070774,             0.00070774,             0.00070774
                      8,                 1.6039,                 2.8938,                  1.547,                0.32778,                0.42448,                0.34968,                0.22434,                 1.7481,                 2.7997,                 1.5145,             0.00070549,             0.00070549,             0.00070549
                      9,                   1.57,                 2.8355,                 1.5503,                0.24618,                0.37755,                0.27821,                0.18397,                 1.7909,                 2.8577,                 1.5552,              0.0007029,              0.0007029,              0.0007029
                     10,                 1.5602,                 2.6988,                 1.5139,                 0.4866,                  0.375,                0.34824,                0.19597,                  1.825,                 2.7619,                 1.5679,             0.00069997,             0.00069997,             0.00069997
                     11,                 1.4959,                  2.635,                 1.4756,                0.31666,                0.61182,                0.32528,                0.19717,                  1.902,                 2.7277,                 1.6276,              0.0006967,              0.0006967,              0.0006967
                     12,                 1.4812,                 2.4898,                 1.4792,                0.37343,                0.36402,                0.39194,                0.20108,                 2.0126,                 2.8116,                 1.7138,             0.00069311,             0.00069311,             0.00069311
                     13,                 1.4541,                 2.4801,                 1.4477,                0.55474,                0.34469,                0.33867,                0.21873,                 1.8257,                 2.7379,                   1.59,             0.00068918,             0.00068918,             0.00068918
                     14,                 1.3838,                 2.3363,                  1.386,                0.55636,                0.27883,                0.29789,                0.18211,                 1.8351,                 2.8804,                 1.5207,             0.00068493,             0.00068493,             0.00068493
                     15,                 1.4111,                 2.2986,                 1.4217,                0.38295,                0.37219,                0.35236,                0.22517,                 1.7772,                 2.7866,                  1.542,             0.00068036,             0.00068036,             0.00068036
                     16,                  1.335,                 2.1455,                  1.374,                0.44631,                0.50143,                0.43259,                0.24262,                 1.7727,                 2.5707,                  1.563,             0.00067548,             0.00067548,             0.00067548
                     17,                 1.3343,                 2.0417,                 1.3599,                0.79548,                0.33333,                0.35784,                0.20939,                 1.7828,                 2.8111,                  1.561,             0.00067028,             0.00067028,             0.00067028
                     18,                 1.3415,                 2.0109,                  1.353,                0.56942,                0.29948,                0.26752,                0.15096,                 1.8721,                 3.0124,                 1.6674,             0.00066478,             0.00066478,             0.00066478
                     19,                 1.2986,                 1.9646,                   1.34,                0.36899,                0.29928,                0.28442,                0.16011,                 1.8587,                 2.8177,                 1.6846,             0.00065898,             0.00065898,             0.00065898
                     20,                 1.2986,                  1.917,                 1.3476,                0.41519,                0.31504,                0.32425,                0.18458,                 1.9823,                 2.8812,                 1.7222,             0.00065289,             0.00065289,             0.00065289
                     21,                 1.2815,                 1.8677,                 1.2731,                 0.3216,                0.34649,                0.30137,                0.17676,                 1.8246,                 2.7326,                 1.6298,              0.0006465,              0.0006465,              0.0006465
                     22,                 1.2758,                  1.796,                 1.3223,                0.32731,                0.33229,                 0.3009,                 0.1722,                 1.8251,                 2.7877,                 1.5872,             0.00063983,             0.00063983,             0.00063983
                     23,                 1.2169,                  1.736,                   1.27,                0.54801,                0.27558,                0.29172,                0.18766,                 1.9019,                 2.7872,                 1.6379,             0.00063289,             0.00063289,             0.00063289
                     24,                 1.2511,                  1.778,                 1.3105,                0.36422,                0.27079,                 0.3167,                0.19143,                 1.8774,                 2.8012,                 1.6578,             0.00062568,             0.00062568,             0.00062568
                     25,                 1.2009,                 1.6606,                 1.2579,                0.50961,                0.51836,                0.37212,                0.18143,                 1.8607,                  2.714,                 1.6785,             0.00061821,             0.00061821,             0.00061821
                     26,                 1.1859,                 1.6421,                 1.2379,                0.58279,                0.55331,                0.52267,                0.21751,                 1.8428,                 2.8554,                 1.6162,             0.00061048,             0.00061048,             0.00061048
                     27,                 1.1972,                 1.5812,                 1.2547,                0.40132,                0.52951,                0.37885,                0.21266,                 1.8639,                 2.7176,                 1.5782,             0.00060251,             0.00060251,             0.00060251
                     28,                 1.1521,                 1.5596,                 1.2297,                0.51529,                0.50174,                0.53806,                0.24346,                 1.8462,                 2.6385,                 1.5988,              0.0005943,              0.0005943,              0.0005943
                     29,                 1.1636,                 1.5285,                 1.2094,                0.57707,                0.47025,                0.53099,                0.27146,                  1.854,                 2.7223,                 1.6154,             0.00058585,             0.00058585,             0.00058585
                     30,                 1.1014,                 1.4377,                 1.2166,                0.85813,                0.49068,                0.58915,                0.31849,                 1.8103,                 2.6349,                 1.5651,             0.00057719,             0.00057719,             0.00057719
                     31,                 1.0662,                 1.4279,                 1.1757,                0.45568,                0.59115,                0.59272,                0.37642,                 1.7633,                  2.407,                 1.5701,             0.00056831,             0.00056831,             0.00056831
                     32,                 1.0956,                 1.4194,                  1.178,                0.45138,                0.63616,                0.41561,                0.25511,                 1.7884,                 2.4715,                 1.6111,             0.00055923,             0.00055923,             0.00055923
                     33,                 1.0236,                 1.3878,                  1.166,                0.36936,                0.62066,                  0.423,                0.26291,                  1.768,                 2.5311,                 1.6068,             0.00054995,             0.00054995,             0.00054995
                     34,                 1.0471,                  1.382,                 1.1809,                0.55271,                0.59896,                0.56686,                0.28696,                 1.8242,                 2.5884,                 1.6078,             0.00054048,             0.00054048,             0.00054048
                     35,                 1.0254,                 1.3648,                 1.1613,                 0.5372,                0.59896,                0.56026,                0.32662,                  1.839,                  2.743,                 1.6835,             0.00053084,             0.00053084,             0.00053084
                     36,                 1.0243,                 1.2978,                 1.1558,                0.48863,                0.59896,                0.56771,                0.35781,                 1.8246,                 2.6939,                 1.6439,             0.00052102,             0.00052102,             0.00052102
                     37,                 1.0193,                 1.2771,                 1.1439,                0.44478,                0.59896,                 0.5386,                0.35537,                 1.7863,                  2.656,                 1.6327,             0.00051105,             0.00051105,             0.00051105
                     38,                0.97512,                 1.2729,                  1.119,                 0.3884,                0.59115,                0.51413,                0.34756,                 1.7892,                 2.8114,                  1.632,             0.00050093,             0.00050093,             0.00050093
                     39,                0.95372,                 1.2091,                 1.0931,                0.51847,                0.59115,                0.50092,                0.33312,                 1.8151,                 2.7861,                 1.6118,             0.00049068,             0.00049068,             0.00049068
                     40,                0.96978,                 1.2101,                 1.1041,                0.62049,                0.57072,                0.34864,                0.22194,                 1.8397,                 2.8215,                 1.6276,             0.00048029,             0.00048029,             0.00048029
                     41,                0.96385,                 1.1509,                  1.108,                0.82107,                0.32014,                0.33538,                0.19488,                 1.8714,                 2.6973,                 1.6895,             0.00046979,             0.00046979,             0.00046979
                     42,                0.90905,                  1.147,                 1.0709,                 0.4761,                0.32017,                0.32232,                0.17944,                 1.8332,                 2.7361,                  1.607,             0.00045917,             0.00045917,             0.00045917
                     43,                0.91585,                 1.1122,                 1.0658,                0.32198,                0.30513,                0.29468,                0.17287,                 1.8372,                 2.7912,                 1.6529,             0.00044846,             0.00044846,             0.00044846
